,index,品牌,時間,平均星等數,總評論數,數量,留言總讚數,讚數最多留言內容,讚數最多留言發布時間,label,前年留言情緒(YoY),當期留言情緒,前期留言情緒(MoM),負評項目
0,72,高雄大碩‧百官網公職,2023-01-01 ~ 2023-01-31,5.0,1,59,0,-,-,0,負面:1 ,正面:1 ,,無負向
1,97,台中大碩‧龍門,2023-01-01 ~ 2023-01-31,5.0,1,119,0,-,-,0,正面:1 ,正面:1 ,,無負向
2,4,高雄大碩,2023-01-01 ~ 2023-01-31,5.0,4,220,0,-,-,0,無留言:1 ,正面:4 ,正面:12 中性:5 ,師
3,52,台南大碩,2023-01-01 ~ 2023-01-31,5.0,10,343,0,-,-,0,正面:28 ,正面:9 中性:1 ,正面:9 中性:1 ,無負向
4,17,新竹大碩,2023-01-01 ~ 2023-01-31,5.0,8,282,0,-,-,0,無留言:3 正面:1 ,正面:6 中性:2 ,中性:6 ,無負向
5,16,台北大碩,2023-01-01 ~ 2023-01-31,4.56,18,627,13,"我當初選擇大碩，第一個要大推的是庭瑀aka大碩朴寶英，非常細心且耐心的跟我說大碩的機制，以及考研課程的規劃，而且當我遇到課堂問題或是碰到行政上的困難時，她都能第一時間幫助到我，也幫我加油打氣，讓我更有自信。
第二個要推的是歐大亮老師，老師不僅僅在我準備考研的這段時間，給予我工數上的幫助，也常常關心我的心理狀態，在我心情低落時，督促我要堅持下去，老師犧牲了自己時間，來提供相當多的資源來幫助我們，讓學習工數更加多元化。
第三個要推的是劉承老師，老師常常會分享實務上的應用，讓我們知道這個電路延伸是做什麼的，帶領我們一步一步分析電路，讓整個計算變成淺顯易懂。
補習首選大碩，請找庭瑀aka大碩朴寶英！",2023-01-19,0,負面:3 ,正面:14 中性:2 負面:2 ,中性:1 正面:1 ,態度
6,63,台中大碩,2023-01-01 ~ 2023-01-31,4.67,3,197,1,負責人有求必應ჱ(ᐙ*)煜沛超讚ჱ(ᐙ*),2023-01-16,0,正面:1 ,正面:3 ,正面:3 ,無負向
7,12,中正偉文,2023-01-01 ~ 2023-01-31,5.0,2,201,1,感謝中正偉文讓我可以對於主科有更深的了解，讓我可以無後故之憂的進行推甄,2023-01-07,1,,正面:2 ,正面:10 中性:1 ,無負向
8,51,高點網路學院中正班,2023-01-01 ~ 2023-01-31,5.0,1,113,0,-,-,2,正面:2 無留言:1 負面:1 ,正面:1 ,正面:3 ,無負向
9,3,高點文教機構,2023-01-01 ~ 2023-01-31,5.0,1,522,0,-,-,2,正面:1 ,中性:1 ,中性:2 正面:2 負面:1 ,-
10,47,台中市私立高點文理短期補習班,2023-01-01 ~ 2023-01-31,1.0,3,57,1,"傲慢的補習班，櫃檯態度不佳，只想收錢不想協助學生考上…..
只覺得收完錢就把學生踢在一邊",2023-01-18,2,無留言:1 負面:1 ,負面:3 ,,服務態度、 櫃檯、 態度
11,45,台中市私立高點文理短期補習班逢甲分班,2023-01-01 ~ 2023-01-31,3.0,2,18,2,"最近剛報名研究所跟國考的課程
上課跟有問題可以來逢甲班不用跑到火車站
講義可以在賴裡預約好再來領
挺方便的～
雖然真的蠻小的不像車站那裡那麼高級
但服務沒有評論講得那麼糟
（可能被罵完改善？😂

加油～推一個逢甲服務的姊姊人很好
講解的很仔細，有時還會順便幫我送講義到學校XD",2023-01-08,2,,負面:2 ,中性:1 ,服務
12,44,高點建國網路學院,2023-01-01 ~ 2023-01-31,5.0,10,80,0,-,-,2,,中性:5 正面:5 ,正面:6 中性:2 ,無負向
13,68,台南高點建國補習班,2023-01-01 ~ 2023-01-31,1.0,1,225,0,-,-,2,,負面:1 ,負面:2 ,專員態度
14,71,高雄數位學堂,2023-01-01 ~ 2023-01-31,5.0,4,126,0,-,-,3,,正面:4 ,中性:1 ,無負向
15,70,TKB壽豐數位學堂,2023-01-01 ~ 2023-01-31,5.0,4,106,0,-,-,3,正面:3 無留言:2 ,正面:3 中性:1 ,中性:11 正面:4 ,無負向
16,54,壽豐數位學堂/花蓮雲端學習門市,2023-01-01 ~ 2023-01-31,5.0,9,96,0,-,-,3,無留言:3 正面:2 ,正面:9 ,正面:10 中性:6 負面:1 ,無負向
17,59,新莊中正數位學堂,2023-01-01 ~ 2023-01-31,5.0,8,138,0,-,-,3,正面:1 ,正面:8 ,,無負向
18,26,斗六數位學堂,2023-01-01 ~ 2023-01-31,5.0,6,314,0,-,-,3,正面:1 ,正面:4 中性:2 ,正面:10 中性:2 ,無負向
19,42,楠梓數位學堂,2023-01-01 ~ 2023-01-31,5.0,9,116,3,"上完TKB課程讓我感覺到的優點
（1）課程師資豐富（超多名師），選擇性多元
（2）行政人員超有耐心的講解投考組合
（3）上課時間很有彈性，想要上課時候可以隨時上課",2023-01-17,3,,正面:8 中性:1 ,,價位
20,43,台中數位學堂,2023-01-01 ~ 2023-01-31,5.0,16,393,1,諮詢過程中，小P主任很耐心專業的介紹課程，很棒，謝謝。,2023-01-31,3,正面:9 無留言:3 ,正面:15 中性:1 ,正面:1 ,無負向
21,48,台北數位學堂,2023-01-01 ~ 2023-01-31,1.0,1,230,1,不知道櫃台小姐學歷怎麼樣,2023-01-10,3,正面:2 中性:1 ,負面:1 ,正面:3 ,櫃台
22,60,民雄數位學堂,2023-01-01 ~ 2023-01-31,5.0,5,49,1,負責人Demi服務很棒 態度很親切 讚讚:),2023-01-31,3,,正面:5 ,正面:2 中性:1 ,無負向
23,49,林口數位學堂,2023-01-01 ~ 2023-01-31,5.0,5,133,0,-,-,3,,正面:5 ,,無負向
24,25,台南數位學堂,2023-01-01 ~ 2023-01-31,5.0,10,197,0,-,-,3,正面:6 無留言:1 ,正面:10 ,正面:8 ,無負向
25,23,桃園數位學堂,2023-01-01 ~ 2023-01-31,5.0,4,176,0,-,-,3,正面:2 ,正面:4 ,,無負向
26,99,新竹學堂‧龍門,2023-01-01 ~ 2023-01-31,5.0,2,28,0,-,-,3,,正面:2 ,正面:1 ,無負向
27,5,TKB數位學堂(宜蘭學堂),2023-01-01 ~ 2023-01-31,4.56,9,177,0,-,-,3,正面:3 ,正面:8 中性:1 ,正面:5 ,無負向
28,96,屏東數位學堂,2023-01-01 ~ 2023-01-31,5.0,1,331,0,-,-,3,,正面:1 ,,無負向
29,95,彰化數位學堂,2023-01-01 ~ 2023-01-31,4.5,2,154,0,-,-,3,正面:1 ,正面:2 ,正面:2 中性:1 ,無負向
30,94,新莊建興數位學堂,2023-01-01 ~ 2023-01-31,3.67,3,80,0,-,-,3,,正面:2 中性:1 ,,無負向
31,9,苗栗數位學堂,2023-01-01 ~ 2023-01-31,5.0,6,84,0,-,-,3,正面:1 無留言:1 ,正面:6 ,正面:1 ,無負向
32,10,中壢數位學堂,2023-01-01 ~ 2023-01-31,4.6,5,207,3,"對於跨考生一名的我很感謝大碩的幫助，這邊真的要好好感謝當時幫助我的校園負責人：郁芬
大碩對我幫助最大的地方是讓我有滿滿的安心感，負責人的關心是我以前補習時代沒有接觸過的，在一個人面對考試壓力的狀態下，還會默默地在我們身後關心我們，陪我聊聊天紓解一下心理壓力，也會在我們有任何關於讀書、考試等資訊有問題時迅速地回答我，
基本上24小時待命，我要找她的時候她都會在，我有問題時問她也都幾乎會得到解答，讓我在準備考試的時候比較不會因為其他煩心的事情而分心。",2023-01-31,3,正面:2 無留言:2 ,正面:3 中性:2 ,正面:10 負面:2 ,無負向
33,73,淡水學堂,2023-01-01 ~ 2023-01-31,5.0,1,205,0,-,-,3,正面:5 無留言:1 負面:1 ,正面:1 ,,無負向
34,15,新竹數位學堂,2023-01-01 ~ 2023-01-31,5.0,7,314,0,-,-,3,正面:4 無留言:4 ,正面:5 中性:2 ,中性:5 ,無負向
35,50,西屯數位學堂,2023-01-01 ~ 2023-01-31,4.75,16,217,3,推薦負責人建儒！很耐心、即時的處理同學們的課程事務。開課後還會關心學生的學習狀況，與同學們相處融洽，人很親切，課程諮詢的處理態度也很大方、迅速。,2023-01-18,3,,正面:15 負面:1 ,中性:7 正面:6 ,無負向
36,75,三峽數位學堂,2023-01-01 ~ 2023-01-31,5.0,2,177,0,-,-,3,正面:2 無留言:2 ,正面:2 ,正面:2 ,無負向
37,74,公館數位學堂,2023-01-01 ~ 2023-01-31,5.0,11,236,0,-,-,3,正面:1 ,正面:11 ,正面:1 ,無負向
38,65,志光數位學院-苗栗分校-公職，高中升大學補習班,2023-01-01 ~ 2023-01-31,1.0,1,135,0,-,-,4,負面:10 正面:4 無留言:2 中性:1 ,負面:1 ,正面:1 ,櫃檯人員、 語氣、 態度
39,66,志光數位學院-羅東分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,1.0,1,39,0,-,-,4,無留言:1 ,負面:1 ,中性:1 ,無負向
40,61,"志光數位學院-台東分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,1,59,0,-,-,4,,正面:1 ,中性:1 正面:1 ,無負向
41,91,志光數位學院-中正分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,10,79,0,-,-,4,正面:1 無留言:1 ,中性:7 正面:3 ,中性:1 正面:1 ,無負向
42,92,"志光數位學院-民雄分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,5,106,0,-,-,4,,正面:3 中性:2 ,,無負向
43,93,志光數位學院-淡水分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,2,83,0,-,-,4,負面:1 ,中性:2 ,正面:1 ,-
44,67,志光數位學院-松山分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,3,77,0,-,-,4,正面:1 ,正面:2 中性:1 ,,無負向
45,90,"志光數位學院-鳳山分校- 公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,2,186,0,-,-,4,正面:5 無留言:3 ,中性:1 正面:1 ,正面:1 ,無負向
46,69,志光數位學院-靜宜分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,3,254,0,-,-,4,無留言:2 中性:1 正面:1 負面:1 ,中性:3 ,正面:6 中性:4 ,-
47,89,志光數位學院-永康分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,3,123,0,-,-,4,正面:2 ,正面:3 ,正面:2 ,無負向
48,88,"志光數位學院-草屯分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,2,79,0,-,-,4,,中性:1 正面:1 ,中性:1 ,無負向
49,64,"志光數位學院-新竹分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,2,132,0,-,-,4,正面:1 無留言:1 負面:1 ,中性:1 正面:1 ,中性:1 負面:1 ,無負向
50,62,志光數位學院-中和分校-公職、高中升大學補習班,2023-01-01 ~ 2023-01-31,5.0,1,150,0,-,-,4,無留言:3 正面:1 ,正面:1 ,中性:3 ,無負向
51,0,"志光數位學院台北旗艦店-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,3.5,4,163,0,-,-,4,負面:2 正面:1 ,正面:2 負面:2 ,正面:2 中性:1 負面:1 ,服務人員的態度、 櫃檯人員
52,46,志光數位學院-三重分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,2,89,0,-,-,4,,正面:2 ,中性:3 正面:2 ,無負向
53,1,志光數位學院-鹿港分校-國考/公職/升大學/升高中補習,2023-01-01 ~ 2023-01-31,5.0,1,128,0,-,-,4,正面:2 無留言:1 ,正面:1 ,正面:1 ,無負向
54,101,"志光數位學院-崑山分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,1,77,0,-,-,4,正面:1 ,正面:1 ,正面:1 ,無負向
55,27,"志光數位學院-楠梓分校- 公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,3,138,0,-,-,4,正面:5 無留言:2 中性:1 負面:1 ,中性:2 正面:1 ,,無負向
56,28,"志光數位學院-新營分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,7,109,0,-,-,4,正面:3 無留言:1 ,正面:6 負面:1 ,正面:4 中性:1 ,無負向
57,29,台北志光補習班-公職/高普考/司法特考/警察警專/國營事業,2023-01-01 ~ 2023-01-31,1.0,2,563,0,-,-,4,正面:1 ,負面:2 ,負面:1 ,態度、 櫃檯服務
58,30,"志光數位學院-虎尾分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,3,164,0,-,-,4,正面:4 無留言:2 ,正面:3 ,正面:6 中性:2 ,無負向
59,32,志光數位學院-溪湖分校-公職，高中升大補習班,2023-01-01 ~ 2023-01-31,5.0,2,179,0,-,-,4,正面:3 ,中性:1 正面:1 ,中性:3 正面:2 ,無負向
60,33,"志光數位學院-南投分校- 公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,4,141,0,-,-,4,正面:2 ,正面:3 中性:1 ,正面:1 ,無負向
61,34,"志光數位學院-大雅分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,2,157,0,-,-,4,正面:4 ,中性:1 正面:1 ,正面:3 中性:1 ,無負向
62,35,志光數位學院-員林分校-國考/公職/升大學/升高中補習班,2023-01-01 ~ 2023-01-31,5.0,1,169,0,-,-,4,無留言:1 ,正面:1 ,正面:2 中性:1 ,無負向
63,102,高雄志光公職旗艦面授.視訊.函授補習班-高普初考/司法警察/國營事業/各類特考/各類證照,2023-01-01 ~ 2023-01-31,5.0,1,173,0,-,-,4,正面:5 負面:1 ,正面:1 ,,無負向
64,37,志光數位學院 台中旗艦店,2023-01-01 ~ 2023-01-31,5.0,10,126,0,-,-,4,正面:1 無留言:1 ,正面:10 ,中性:2 正面:2 ,無負向
65,38,"志光數位學院-東勢分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,3,77,0,-,-,4,正面:3 ,正面:3 ,正面:2 ,無負向
66,39,志光數位學院-豐原分校,2023-01-01 ~ 2023-01-31,5.0,8,97,0,-,-,4,正面:5 ,中性:6 正面:1 負面:1 ,正面:2 中性:1 ,無負向
67,40,"志光數位學院-士林分校-公職,高中升大學補習班",2023-01-01 ~ 2023-01-31,5.0,5,86,0,-,-,4,正面:4 ,正面:5 ,正面:1 ,無負向
68,36,志光數位學院-北屯分校,2023-01-01 ~ 2023-01-31,5.0,3,98,0,-,-,4,正面:1 無留言:1 ,正面:2 中性:1 ,正面:2 中性:1 ,無負向
69,41,志光數位學院-樹林分校-國考/公職/升大學/升高中補習,2023-01-01 ~ 2023-01-31,5.0,3,227,0,-,-,4,無留言:6 正面:3 ,正面:2 中性:1 ,正面:2 ,無負向
70,8,台北百官,2023-01-01 ~ 2023-01-31,5.0,8,283,0,-,-,5,無留言:1 ,正面:8 ,正面:2 ,無負向
71,31,台北旗艦店公職王重慶南門市(超級/金榜/函授/國考用書/公職/高普考/司法特考/調查局/警察警專/國營事業/郵局銀行),2023-01-01 ~ 2023-01-31,4.0,1,300,0,-,-,6,正面:2 無留言:1 ,負面:1 ,,無負向
72,53,【三民公職輔考】-台中站前分校(公職/高普考/鐵路特考/一般警察特考/司法特考/國營事業/證照/就業考試),2023-01-01 ~ 2023-01-31,5.0,4,94,0,-,-,7,,正面:3 中性:1 ,中性:1 負面:1 ,無負向
73,80,【三民公職輔考】-台北本部(公職/高普考/鐵路特考/司法特考/移民特考/國營事業/台電招考/國營聯招/銀行招考/記帳士/不動產經紀人/地政士/金融證照),2023-01-01 ~ 2023-01-31,5.0,2,292,0,-,-,7,正面:27 無留言:2 中性:1 負面:1 ,正面:2 ,正面:2 負面:1 ,無負向
74,78,【三民公職輔考】-台南成功分校(公職/高普考/鐵路特考/一般警察特考/司法特考/國營事業/證照/就業考試),2023-01-01 ~ 2023-01-31,4.89,9,683,0,-,-,7,正面:13 ,正面:7 中性:2 ,正面:10 中性:3 ,無負向
75,77,【三民補習班】(三民輔考)-公職/高普考/鐵路特考/一般警察特考/司法特考/國營事業/證照/就業考試,2023-01-01 ~ 2023-01-31,3.5,2,465,0,-,-,7,,中性:1 負面:1 ,中性:1 ,櫃台
76,55,【 三民公職輔考】-台中復興分校(公職/高普考/鐵路特考/一般警察特考/司法特考/國營事業/證照/就業考試),2023-01-01 ~ 2023-01-31,5.0,1,185,0,-,-,7,正面:1 ,正面:1 ,正面:5 中性:1 ,無負向
77,58,台中洋碩,2023-01-01 ~ 2023-01-31,4.75,8,202,0,-,-,8,,正面:7 負面:1 ,正面:2 ,排課、 彈性
78,98,西屯洋碩,2023-01-01 ~ 2023-01-31,5.0,9,128,1,當初一開始會想補英文的原因是因為學校的英文課程用處不大，想進步的話可能有點困難。所以想說到外面的教室去試試看，所以找上了洋碩美語。我覺得洋碩的非常用心，會用很多程度幫各位學生親自分級。所以上課上起來也不會覺得太困難，所以對進步來說相當有用。後來對自己的志願是考機師，因此英文又是格外的重要，教室內也會針對學生想學的部分進行1對1的家教課，讓學生不會只像在大補習班要跟著老師的想法學，所以我覺得很不錯！,2023-01-31,8,正面:1 ,正面:9 ,,無負向
79,2,新竹洋碩,2023-01-01 ~ 2023-01-31,5.0,6,55,0,-,-,8,,正面:5 負面:1 ,,無負向
80,6,中壢洋碩,2023-01-01 ~ 2023-01-31,5.0,3,66,1,洋碩的老師會根據不同的學生狀況，為他們做課程的調整，給學生很大的彈性，只要跟英文有關的問題都會耐心解答，會像朋友一樣跟學生聊天，準備的主題很有趣而且貼近時事。教材也很豐富，學完一年的課程，有明顯感覺到口說跟聽力的進步。,2023-01-04,8,中性:1 正面:1 無留言:1 ,正面:2 負面:1 ,,無負向
81,7,淡水洋碩美語,2023-01-01 ~ 2023-01-31,5.0,2,34,0,-,-,8,正面:1 ,正面:2 ,正面:2 ,無負向
82,13,台南洋碩,2023-01-01 ~ 2023-01-31,5.0,5,54,0,-,-,8,正面:1 ,正面:4 中性:1 ,正面:4 ,無負向
83,18,台北洋碩,2023-01-01 ~ 2023-01-31,5.0,18,657,25,課程內容多元化，跳脫以往填鴨式的學習方式，頂尖師資，可以先測試自己的程度到哪裡，再針對不足的做加強,2023-01-06,8,正面:9 ,正面:18 ,正面:7 負面:1 ,無負向
84,21,高雄洋碩,2023-01-01 ~ 2023-01-31,5.0,10,364,0,-,-,8,無留言:2 ,正面:7 中性:3 ,正面:1 ,無負向
85,19,菁英國際語言教育中心 - 台北站前：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,3.67,6,689,0,-,-,10,正面:16 ,中性:2 正面:2 負面:2 ,正面:20 中性:2 ,服務人員
86,100,菁英國際語言教育中心 - 新北板橋：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,5.0,1,586,0,-,-,10,正面:4 中性:1 ,正面:1 ,正面:11 中性:2 ,無負向
87,20,菁英國際語言教育中心(補習班)-台北公館：多益TOEIC / 雅思IELTS / 托福TOEFL / SAT / 日文會話 / 日文檢定JLPT,2023-01-01 ~ 2023-01-31,5.0,10,506,0,-,-,10,正面:15 ,正面:7 中性:2 負面:1 ,正面:6 ,無負向
88,83,菁英國際語言教育中心 - 台北站前南陽：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文 / 托福正式考場 / 雅思紙考機考考場,2023-01-01 ~ 2023-01-31,5.0,2,378,0,-,-,10,正面:3 ,中性:1 正面:1 ,正面:2 中性:1 ,無負向
89,86,菁英國際語言教育中心 - 高雄站前：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,5.0,10,385,1,環境良好，顧問很專業解說，線上及實體可以自由排課，系統設計很人性化，想快速提升的人，值得一試！,2023-01-30,10,正面:11 負面:1 ,正面:10 ,正面:6 ,無負向
90,85,菁英國際語言教育中心 - 桃園中壢：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,5.0,14,787,1,"課程安排及內容都十分用心
而且好處是選課可以很彈性 完全不會被綁住
講師與服務人員也都很專業
尤其是貼心的AMY老師非常照顧學生
如果需要補外語的話非常推薦去菁英
要記得去找AMY老師喔！",2023-01-31,10,正面:9 中性:1 ,正面:14 ,正面:14 中性:1 ,無負向
91,84,菁英國際語言教育中心 - 台中站前：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,5.0,5,385,0,-,-,10,正面:5 ,正面:4 中性:1 ,正面:7 中性:2 ,無負向
92,82,菁英國際語言教育中心 - 新竹站前校,2023-01-01 ~ 2023-01-31,5.0,7,430,0,-,-,10,正面:4 無留言:4 負面:1 ,正面:4 中性:3 ,正面:7 中性:3 ,無負向
93,81,菁英國際語言教育中心-台北旗艦教室,2023-01-01 ~ 2023-01-31,5.0,3,474,0,-,-,10,正面:1 ,正面:2 中性:1 ,正面:3 負面:1 ,無負向
94,24,菁英國際語言教育中心 - 桃園站前：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,4.0,4,457,0,-,-,10,正面:5 無留言:2 中性:1 ,正面:3 負面:1 ,正面:3 ,無負向
95,22,菁英國際語言教育中心 - 台北東區：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-01-01 ~ 2023-01-31,5.0,5,369,0,-,-,10,正面:8 負面:1 ,正面:5 ,正面:11 ,無負向
96,14,字神帝國英語學院許昌校區,2023-01-01 ~ 2023-01-31,5.0,18,920,0,-,-,11,正面:6 無留言:1 負面:1 ,正面:18 ,正面:14 中性:1 ,無負向
97,56,字神帝國 高雄中山分校,2023-01-01 ~ 2023-01-31,3.0,2,145,0,-,-,11,正面:3 ,中性:1 正面:1 ,正面:1 ,無負向
98,76,字神帝國英語學院 - 台中復興分校 ：多益TOEIC / 雅思 IELTS / 托福 TOEFL / SAT / GRE / GMAT,2023-01-01 ~ 2023-01-31,4.75,8,326,0,-,-,11,正面:9 ,正面:7 負面:1 ,正面:4 中性:2 ,無負向
99,87,戴爾美語逢甲校-托福雅思多益官方考場教學中心,2023-01-01 ~ 2023-01-31,4.91,11,360,0,-,-,12,正面:8 無留言:1 ,正面:9 中性:1 負面:1 ,正面:5 ,步調、 老師、 態度
100,11,台中甄戰,2023-01-01 ~ 2023-01-31,5.0,9,362,0,-,-,16,正面:1 ,正面:9 ,正面:4 ,無負向
101,57,嘉南甄戰,2023-01-01 ~ 2023-01-31,5.0,17,651,0,-,-,16,無留言:15 正面:1 ,正面:9 中性:8 ,正面:11 中性:7 ,無負向
102,79,新竹甄戰,2023-01-01 ~ 2023-01-31,5.0,2,41,0,-,-,16,,正面:2 ,,無負向
